name,force,level,mechanic,equipment,primaryMuscles,secondaryMuscles,category,id
Hyperextensions With No Hyperextension Bench,pull,intermediate,compound,body only,['lower back'],"['glutes', 'hamstrings']",strength,Hyperextensions_With_No_Hyperextension_Bench
Incline Barbell Triceps Extension,push,intermediate,isolation,barbell,['triceps'],['forearms'],strength,Incline_Barbell_Triceps_Extension
Incline Bench Pull,pull,beginner,isolation,barbell,['middle back'],"['lats', 'shoulders']",strength,Incline_Bench_Pull
Incline Cable Chest Press,push,beginner,compound,cable,['chest'],"['shoulders', 'triceps']",strength,Incline_Cable_Chest_Press
Incline Cable Flye,push,intermediate,isolation,cable,['chest'],['shoulders'],strength,Incline_Cable_Flye
Incline Dumbbell Bench With Palms Facing In,push,beginner,compound,dumbbell,['chest'],"['shoulders', 'triceps']",strength,Incline_Dumbbell_Bench_With_Palms_Facing_In
Incline Dumbbell Curl,pull,beginner,isolation,dumbbell,['biceps'],[],strength,Incline_Dumbbell_Curl
Incline Dumbbell Flyes,push,beginner,compound,dumbbell,['chest'],['shoulders'],strength,Incline_Dumbbell_Flyes
Incline Dumbbell Flyes - With A Twist,push,beginner,compound,dumbbell,['chest'],['shoulders'],strength,Incline_Dumbbell_Flyes_-_With_A_Twist
Incline Dumbbell Press,push,beginner,compound,dumbbell,['chest'],"['shoulders', 'triceps']",strength,Incline_Dumbbell_Press
Incline Hammer Curls,pull,beginner,isolation,dumbbell,['biceps'],[],strength,Incline_Hammer_Curls
Incline Inner Biceps Curl,pull,beginner,isolation,dumbbell,['biceps'],[],strength,Incline_Inner_Biceps_Curl
Incline Push-Up,push,beginner,compound,body only,['chest'],"['shoulders', 'triceps']",strength,Incline_Push-Up
Incline Push-Up Close-Grip,push,beginner,compound,body only,['triceps'],"['chest', 'shoulders']",strength,Incline_Push-Up_Close-Grip
Incline Push-Up Medium,push,beginner,compound,body only,['chest'],"['abdominals', 'shoulders', 'triceps']",strength,Incline_Push-Up_Medium
Incline Push-Up Reverse Grip,push,beginner,compound,body only,['chest'],"['abdominals', 'shoulders', 'triceps']",strength,Incline_Push-Up_Reverse_Grip
Incline Push-Up Wide,push,beginner,compound,body only,['chest'],"['abdominals', 'shoulders', 'triceps']",strength,Incline_Push-Up_Wide
Inverted Row,pull,beginner,compound,barbell,['middle back'],['lats'],strength,Inverted_Row
Inverted Row with Straps,pull,beginner,compound,other,['middle back'],"['biceps', 'lats']",strength,Inverted_Row_with_Straps
Iron Cross,push,intermediate,compound,dumbbell,['shoulders'],"['chest', 'glutes', 'hamstrings', 'lower back', 'quadriceps', 'traps']",strength,Iron_Cross
Isometric Neck Exercise - Front And Back,static,beginner,isolation,body only,['neck'],[],strength,Isometric_Neck_Exercise_-_Front_And_Back
Isometric Neck Exercise - Sides,static,beginner,isolation,body only,['neck'],[],strength,Isometric_Neck_Exercise_-_Sides
Isometric Wipers,push,beginner,compound,body only,['chest'],"['abdominals', 'shoulders', 'triceps']",strength,Isometric_Wipers
JM Press,push,beginner,compound,barbell,['triceps'],"['chest', 'shoulders']",strength,JM_Press
Jackknife Sit-Up,pull,beginner,compound,body only,['abdominals'],[],strength,Jackknife_Sit-Up
Janda Sit-Up,pull,beginner,isolation,body only,['abdominals'],[],strength,Janda_Sit-Up
Jefferson Squats,legs,intermediate,compound,barbell,['quadriceps'],"['calves', 'glutes', 'hamstrings', 'lower back', 'traps']",strength,Jefferson_Squats
Kettlebell Arnold Press,push,intermediate,compound,kettlebells,['shoulders'],['triceps'],strength,Kettlebell_Arnold_Press
Kettlebell Dead Clean,legs,intermediate,compound,kettlebells,['hamstrings'],"['calves', 'glutes', 'lower back', 'quadriceps', 'traps']",strength,Kettlebell_Dead_Clean
Kettlebell Hang Clean,legs,intermediate,compound,kettlebells,['hamstrings'],"['calves', 'glutes', 'lower back', 'shoulders', 'traps']",strength,Kettlebell_Hang_Clean
Kettlebell One-Legged Deadlift,legs,intermediate,compound,kettlebells,['hamstrings'],"['glutes', 'lower back']",strength,Kettlebell_One-Legged_Deadlift
Kettlebell Pass Between The Legs,pull,intermediate,compound,kettlebells,['abdominals'],"['glutes', 'hamstrings', 'shoulders']",strength,Kettlebell_Pass_Between_The_Legs
Kettlebell Pirate Ships,push,beginner,compound,kettlebells,['shoulders'],['abdominals'],strength,Kettlebell_Pirate_Ships
Kettlebell Pistol Squat,legs,expert,compound,kettlebells,['quadriceps'],"['calves', 'glutes', 'hamstrings', 'shoulders']",strength,Kettlebell_Pistol_Squat
Kettlebell Seated Press,push,intermediate,compound,kettlebells,['shoulders'],['triceps'],strength,Kettlebell_Seated_Press
Kettlebell Seesaw Press,push,intermediate,compound,kettlebells,['shoulders'],['triceps'],strength,Kettlebell_Seesaw_Press
Kettlebell Sumo High Pull,pull,intermediate,compound,kettlebells,['traps'],"['adductors', 'glutes', 'hamstrings', 'quadriceps', 'shoulders']",strength,Kettlebell_Sumo_High_Pull
Kettlebell Thruster,push,intermediate,compound,kettlebells,['shoulders'],"['quadriceps', 'triceps']",strength,Kettlebell_Thruster
Kettlebell Turkish Get-Up (Lunge style),push,intermediate,compound,kettlebells,['shoulders'],"['abdominals', 'hamstrings', 'quadriceps', 'triceps']",strength,Kettlebell_Turkish_Get-Up_Lunge_style
Kettlebell Turkish Get-Up (Squat style),push,intermediate,compound,kettlebells,['shoulders'],"['abdominals', 'calves', 'hamstrings', 'quadriceps', 'triceps']",strength,Kettlebell_Turkish_Get-Up_Squat_style
Kettlebell Windmill,pull,intermediate,compound,kettlebells,['abdominals'],"['glutes', 'hamstrings', 'shoulders', 'triceps']",strength,Kettlebell_Windmill
Kipping Muscle Up,pull,intermediate,compound,other,['lats'],"['abdominals', 'biceps', 'forearms', 'middle back', 'shoulders', 'traps', 'triceps']",strength,Kipping_Muscle_Up
Knee/Hip Raise On Parallel Bars,pull,beginner,isolation,other,['abdominals'],[],strength,Knee_Hip_Raise_On_Parallel_Bars
Kneeling Cable Crunch With Alternating Oblique Twists,pull,beginner,isolation,cable,['abdominals'],[],strength,Kneeling_Cable_Crunch_With_Alternating_Oblique_Twists
Kneeling Cable Triceps Extension,push,intermediate,isolation,cable,['triceps'],[],strength,Kneeling_Cable_Triceps_Extension
Kneeling High Pulley Row,pull,beginner,compound,cable,['lats'],"['biceps', 'middle back']",strength,Kneeling_High_Pulley_Row
Kneeling Single-Arm High Pulley Row,pull,beginner,compound,cable,['lats'],"['biceps', 'middle back']",strength,Kneeling_Single-Arm_High_Pulley_Row
Landmine 180's,pull,beginner,compound,barbell,['abdominals'],"['glutes', 'lower back', 'shoulders']",strength,Landmine_180s
Landmine Linear Jammer,push,intermediate,compound,barbell,['shoulders'],"['abdominals', 'calves', 'chest', 'hamstrings', 'quadriceps', 'triceps']",strength,Landmine_Linear_Jammer
Lateral Raise - With Bands,push,beginner,isolation,bands,['shoulders'],[],strength,Lateral_Raise_-_With_Bands
Leg-Over Floor Press,push,intermediate,compound,kettlebells,['chest'],"['shoulders', 'triceps']",strength,Leg-Over_Floor_Press
Leg Extensions,legs,beginner,isolation,machine,['quadriceps'],[],strength,Leg_Extensions
Leg Lift,legs,beginner,isolation,body only,['glutes'],['hamstrings'],strength,Leg_Lift
Leg Press,legs,beginner,compound,machine,['quadriceps'],"['calves', 'glutes', 'hamstrings']",strength,Leg_Press
Leg Pull-In,pull,beginner,compound,body only,['abdominals'],[],strength,Leg_Pull-In
Leverage Chest Press,push,beginner,compound,machine,['chest'],"['shoulders', 'triceps']",strength,Leverage_Chest_Press
Leverage Deadlift,legs,beginner,compound,machine,['quadriceps'],"['glutes', 'hamstrings']",strength,Leverage_Deadlift
Leverage Decline Chest Press,push,beginner,compound,machine,['chest'],"['shoulders', 'triceps']",strength,Leverage_Decline_Chest_Press
Leverage High Row,pull,beginner,compound,machine,['middle back'],['lats'],strength,Leverage_High_Row
Leverage Incline Chest Press,push,beginner,compound,machine,['chest'],"['shoulders', 'triceps']",strength,Leverage_Incline_Chest_Press
Leverage Iso Row,pull,beginner,compound,machine,['lats'],"['biceps', 'middle back']",strength,Leverage_Iso_Row
Leverage Shoulder Press,push,beginner,compound,machine,['shoulders'],['triceps'],strength,Leverage_Shoulder_Press
Leverage Shrug,pull,beginner,isolation,machine,['traps'],['forearms'],strength,Leverage_Shrug
London Bridges,pull,intermediate,compound,other,['lats'],"['biceps', 'forearms', 'middle back']",strength,London_Bridges
Low Cable Crossover,push,beginner,isolation,cable,['chest'],['shoulders'],strength,Low_Cable_Crossover
Low Cable Triceps Extension,push,beginner,isolation,cable,['triceps'],[],strength,Low_Cable_Triceps_Extension
Low Pulley Row To Neck,pull,beginner,compound,cable,['shoulders'],"['biceps', 'middle back', 'traps']",strength,Low_Pulley_Row_To_Neck
Lunge Pass Through,legs,intermediate,compound,kettlebells,['hamstrings'],"['calves', 'glutes', 'quadriceps']",strength,Lunge_Pass_Through
Lunge Sprint,legs,intermediate,compound,machine,['quadriceps'],"['calves', 'glutes', 'hamstrings']",strength,Lunge_Sprint
Lying Cable Curl,pull,intermediate,isolation,cable,['biceps'],[],strength,Lying_Cable_Curl
Lying Cambered Barbell Row,pull,beginner,isolation,barbell,['middle back'],"['biceps', 'lats', 'traps']",strength,Lying_Cambered_Barbell_Row
Lying Close-Grip Bar Curl On High Pulley,pull,beginner,isolation,cable,['biceps'],[],strength,Lying_Close-Grip_Bar_Curl_On_High_Pulley
Lying Close-Grip Barbell Triceps Extension Behind The Head,push,intermediate,isolation,barbell,['triceps'],[],strength,Lying_Close-Grip_Barbell_Triceps_Extension_Behind_The_Head
Lying Close-Grip Barbell Triceps Press To Chin,push,intermediate,isolation,e-z curl bar,['triceps'],[],strength,Lying_Close-Grip_Barbell_Triceps_Press_To_Chin
Lying Dumbbell Tricep Extension,push,intermediate,isolation,dumbbell,['triceps'],"['chest', 'shoulders']",strength,Lying_Dumbbell_Tricep_Extension
Lying Face Down Plate Neck Resistance,pull,intermediate,isolation,other,['neck'],[],strength,Lying_Face_Down_Plate_Neck_Resistance
Lying Face Up Plate Neck Resistance,pull,intermediate,isolation,other,['neck'],[],strength,Lying_Face_Up_Plate_Neck_Resistance
Lying High Bench Barbell Curl,pull,intermediate,isolation,barbell,['biceps'],[],strength,Lying_High_Bench_Barbell_Curl
Lying Leg Curls,legs,beginner,isolation,machine,['hamstrings'],[],strength,Lying_Leg_Curls
Lying Machine Squat,legs,intermediate,compound,machine,['quadriceps'],"['calves', 'glutes', 'hamstrings']",strength,Lying_Machine_Squat
Lying One-Arm Lateral Raise,pull,intermediate,isolation,dumbbell,['shoulders'],[],strength,Lying_One-Arm_Lateral_Raise
Lying Rear Delt Raise,pull,intermediate,isolation,dumbbell,['shoulders'],[],strength,Lying_Rear_Delt_Raise
Lying Supine Dumbbell Curl,pull,beginner,isolation,dumbbell,['biceps'],[],strength,Lying_Supine_Dumbbell_Curl
Lying T-Bar Row,pull,intermediate,compound,machine,['middle back'],"['biceps', 'lats']",strength,Lying_T-Bar_Row
Lying Triceps Press,push,intermediate,isolation,e-z curl bar,['triceps'],[],strength,Lying_Triceps_Press
Machine Bench Press,push,beginner,compound,machine,['chest'],"['shoulders', 'triceps']",strength,Machine_Bench_Press
Machine Bicep Curl,pull,beginner,isolation,machine,['biceps'],[],strength,Machine_Bicep_Curl
Machine Preacher Curls,pull,beginner,isolation,machine,['biceps'],[],strength,Machine_Preacher_Curls
Machine Shoulder (Military) Press,push,beginner,compound,machine,['shoulders'],['triceps'],strength,Machine_Shoulder_Military_Press
Machine Triceps Extension,push,beginner,isolation,machine,['triceps'],[],strength,Machine_Triceps_Extension
Middle Back Shrug,pull,intermediate,isolation,dumbbell,['middle back'],[],strength,Middle_Back_Shrug
Mixed Grip Chin,pull,expert,compound,other,['middle back'],"['biceps', 'lats']",strength,Mixed_Grip_Chin
Monster Walk,legs,beginner,compound,bands,['abductors'],[],strength,Monster_Walk
Muscle Up,pull,intermediate,compound,other,['lats'],"['abdominals', 'biceps', 'forearms', 'middle back', 'shoulders', 'traps', 'triceps']",strength,Muscle_Up
Narrow Stance Hack Squats,legs,intermediate,compound,machine,['quadriceps'],"['calves', 'glutes', 'hamstrings']",strength,Narrow_Stance_Hack_Squats
Narrow Stance Leg Press,legs,intermediate,compound,machine,['quadriceps'],"['calves', 'glutes', 'hamstrings']",strength,Narrow_Stance_Leg_Press
Narrow Stance Squats,legs,intermediate,compound,barbell,['quadriceps'],"['calves', 'glutes', 'hamstrings', 'lower back']",strength,Narrow_Stance_Squats
Natural Glute Ham Raise,legs,intermediate,compound,body only,['hamstrings'],"['calves', 'glutes', 'lower back']",strength,Natural_Glute_Ham_Raise
Neck Press,push,intermediate,compound,barbell,['chest'],"['shoulders', 'triceps']",strength,Neck_Press
Oblique Crunches,pull,beginner,isolation,body only,['abdominals'],[],strength,Oblique_Crunches
Oblique Crunches - On The Floor,pull,beginner,isolation,body only,['abdominals'],[],strength,Oblique_Crunches_-_On_The_Floor
One-Arm Dumbbell Row,pull,beginner,compound,dumbbell,['middle back'],"['biceps', 'lats', 'shoulders']",strength,One-Arm_Dumbbell_Row
One-Arm Flat Bench Dumbbell Flye,push,beginner,isolation,dumbbell,['chest'],[],strength,One-Arm_Flat_Bench_Dumbbell_Flye
One-Arm High-Pulley Cable Side Bends,pull,beginner,isolation,cable,['abdominals'],[],strength,One-Arm_High-Pulley_Cable_Side_Bends
One-Arm Incline Lateral Raise,push,beginner,isolation,dumbbell,['shoulders'],[],strength,One-Arm_Incline_Lateral_Raise
One-Arm Kettlebell Clean,legs,intermediate,compound,kettlebells,['hamstrings'],"['glutes', 'lower back', 'shoulders', 'traps']",strength,One-Arm_Kettlebell_Clean
One-Arm Kettlebell Clean and Jerk,push,intermediate,compound,kettlebells,['shoulders'],[],strength,One-Arm_Kettlebell_Clean_and_Jerk
One-Arm Kettlebell Floor Press,push,intermediate,compound,kettlebells,['chest'],['triceps'],strength,One-Arm_Kettlebell_Floor_Press
One-Arm Kettlebell Jerk,push,intermediate,compound,kettlebells,['shoulders'],"['calves', 'quadriceps', 'triceps']",strength,One-Arm_Kettlebell_Jerk
One-Arm Kettlebell Military Press To The Side,push,intermediate,compound,kettlebells,['shoulders'],['triceps'],strength,One-Arm_Kettlebell_Military_Press_To_The_Side
One-Arm Kettlebell Para Press,push,intermediate,compound,kettlebells,['shoulders'],['triceps'],strength,One-Arm_Kettlebell_Para_Press
One-Arm Kettlebell Push Press,push,intermediate,compound,kettlebells,['shoulders'],"['calves', 'quadriceps', 'triceps']",strength,One-Arm_Kettlebell_Push_Press
One-Arm Kettlebell Row,pull,intermediate,compound,kettlebells,['middle back'],"['biceps', 'lats']",strength,One-Arm_Kettlebell_Row
One-Arm Kettlebell Snatch,pull,expert,compound,kettlebells,['shoulders'],"['calves', 'glutes', 'hamstrings', 'lower back', 'traps', 'triceps']",strength,One-Arm_Kettlebell_Snatch
One-Arm Kettlebell Split Jerk,push,intermediate,compound,kettlebells,['shoulders'],"['glutes', 'hamstrings', 'quadriceps', 'triceps']",strength,One-Arm_Kettlebell_Split_Jerk
One-Arm Kettlebell Split Snatch,pull,expert,compound,kettlebells,['shoulders'],"['hamstrings', 'quadriceps']",strength,One-Arm_Kettlebell_Split_Snatch
One-Arm Kettlebell Swings,legs,intermediate,compound,kettlebells,['hamstrings'],"['calves', 'glutes', 'lower back', 'shoulders']",strength,One-Arm_Kettlebell_Swings
One-Arm Long Bar Row,pull,beginner,compound,barbell,['middle back'],"['biceps', 'lats']",strength,One-Arm_Long_Bar_Row
One-Arm Medicine Ball Slam,pull,beginner,compound,medicine ball,['abdominals'],"['lats', 'shoulders']",strength,One-Arm_Medicine_Ball_Slam
One-Arm Open Palm Kettlebell Clean,legs,intermediate,compound,kettlebells,['hamstrings'],"['forearms', 'glutes', 'lower back', 'quadriceps', 'shoulders']",strength,One-Arm_Open_Palm_Kettlebell_Clean
One-Arm Overhead Kettlebell Squats,legs,expert,compound,kettlebells,['quadriceps'],"['calves', 'glutes', 'hamstrings', 'shoulders']",strength,One-Arm_Overhead_Kettlebell_Squats
One-Arm Side Deadlift,legs,expert,compound,barbell,['quadriceps'],"['abdominals', 'calves', 'glutes', 'hamstrings', 'lower back', 'traps']",strength,One-Arm_Side_Deadlift
One-Arm Side Laterals,push,beginner,isolation,dumbbell,['shoulders'],[],strength,One-Arm_Side_Laterals
One-Legged Cable Kickback,legs,intermediate,isolation,cable,['glutes'],['hamstrings'],strength,One-Legged_Cable_Kickback
One Arm Chin-Up,pull,expert,compound,other,['middle back'],"['biceps', 'forearms', 'lats']",strength,One_Arm_Chin-Up
One Arm Dumbbell Bench Press,push,beginner,compound,dumbbell,['chest'],"['shoulders', 'triceps']",strength,One_Arm_Dumbbell_Bench_Press
One Arm Dumbbell Preacher Curl,pull,beginner,isolation,dumbbell,['biceps'],[],strength,One_Arm_Dumbbell_Preacher_Curl
One Arm Floor Press,push,intermediate,compound,barbell,['triceps'],"['chest', 'shoulders']",strength,One_Arm_Floor_Press
One Arm Lat Pulldown,pull,beginner,compound,cable,['lats'],"['biceps', 'middle back']",strength,One_Arm_Lat_Pulldown
One Arm Pronated Dumbbell Triceps Extension,push,beginner,isolation,dumbbell,['triceps'],[],strength,One_Arm_Pronated_Dumbbell_Triceps_Extension
One Arm Supinated Dumbbell Triceps Extension,push,beginner,isolation,dumbbell,['triceps'],[],strength,One_Arm_Supinated_Dumbbell_Triceps_Extension
One Leg Barbell Squat,legs,expert,compound,barbell,['quadriceps'],"['calves', 'glutes', 'hamstrings']",strength,One_Leg_Barbell_Squat
Open Palm Kettlebell Clean,legs,expert,compound,kettlebells,['hamstrings'],"['glutes', 'lower back', 'quadriceps', 'shoulders']",strength,Open_Palm_Kettlebell_Clean
Otis-Up,pull,beginner,compound,other,['abdominals'],"['chest', 'shoulders', 'triceps']",strength,Otis-Up
Overhead Cable Curl,pull,intermediate,isolation,cable,['biceps'],[],strength,Overhead_Cable_Curl
Pallof Press,pull,beginner,isolation,cable,['abdominals'],"['chest', 'shoulders', 'triceps']",strength,Pallof_Press
Pallof Press With Rotation,pull,beginner,compound,cable,['abdominals'],"['chest', 'shoulders', 'triceps']",strength,Pallof_Press_With_Rotation
Palms-Down Dumbbell Wrist Curl Over A Bench,pull,beginner,isolation,dumbbell,['forearms'],[],strength,Palms-Down_Dumbbell_Wrist_Curl_Over_A_Bench
Palms-Down Wrist Curl Over A Bench,pull,beginner,isolation,barbell,['forearms'],[],strength,Palms-Down_Wrist_Curl_Over_A_Bench
Palms-Up Barbell Wrist Curl Over A Bench,pull,beginner,isolation,barbell,['forearms'],[],strength,Palms-Up_Barbell_Wrist_Curl_Over_A_Bench
Palms-Up Dumbbell Wrist Curl Over A Bench,pull,beginner,isolation,dumbbell,['forearms'],[],strength,Palms-Up_Dumbbell_Wrist_Curl_Over_A_Bench
Parallel Bar Dip,push,beginner,compound,other,['triceps'],"['chest', 'shoulders']",strength,Parallel_Bar_Dip
Physioball Hip Bridge,legs,beginner,compound,exercise ball,['glutes'],['hamstrings'],strength,Physioball_Hip_Bridge
Plank,static,beginner,isolation,body only,['abdominals'],[],strength,Plank
Plate Pinch,static,intermediate,isolation,other,['forearms'],[],strength,Plate_Pinch
Plate Twist,pull,intermediate,compound,other,['abdominals'],[],strength,Plate_Twist
Platform Hamstring Slides,legs,beginner,isolation,other,['hamstrings'],['glutes'],strength,Platform_Hamstring_Slides
Plie Dumbbell Squat,legs,beginner,compound,dumbbell,['quadriceps'],"['abdominals', 'calves', 'glutes', 'hamstrings']",strength,Plie_Dumbbell_Squat
Plyo Kettlebell Pushups,push,expert,compound,kettlebells,['chest'],"['shoulders', 'triceps']",strength,Plyo_Kettlebell_Pushups
Power Clean,legs,intermediate,compound,barbell,['hamstrings'],"['calves', 'forearms', 'glutes', 'lower back', 'middle back', 'quadriceps', 'shoulders', 'traps', 'triceps']",strength,Power_Clean
Power Partials,push,beginner,isolation,dumbbell,['shoulders'],[],strength,Power_Partials
Preacher Curl,pull,beginner,isolation,barbell,['biceps'],[],strength,Preacher_Curl
Preacher Hammer Dumbbell Curl,pull,beginner,isolation,dumbbell,['biceps'],['forearms'],strength,Preacher_Hammer_Dumbbell_Curl
Press Sit-Up,push,expert,compound,barbell,['abdominals'],"['chest', 'shoulders', 'triceps']",strength,Press_Sit-Up
Prone Manual Hamstring,legs,beginner,isolation,body only,['hamstrings'],[],strength,Prone_Manual_Hamstring
Pull Through,legs,beginner,compound,cable,['glutes'],"['hamstrings', 'lower back']",strength,Pull_Through
Pullups,pull,beginner,compound,body only,['lats'],"['biceps', 'middle back']",strength,Pullups
Push-Up Wide,push,beginner,compound,body only,['chest'],"['abdominals', 'shoulders', 'triceps']",strength,Push-Up_Wide
Push-Ups - Close Triceps Position,push,intermediate,compound,body only,['triceps'],"['chest', 'shoulders']",strength,Push-Ups_-_Close_Triceps_Position
Push-Ups With Feet Elevated,push,beginner,compound,body only,['chest'],"['shoulders', 'triceps']",strength,Push-Ups_With_Feet_Elevated
Push-Ups With Feet On An Exercise Ball,push,intermediate,compound,exercise ball,['chest'],"['shoulders', 'triceps']",strength,Push-Ups_With_Feet_On_An_Exercise_Ball
Push Up to Side Plank,push,beginner,compound,body only,['chest'],"['abdominals', 'shoulders', 'triceps']",strength,Push_Up_to_Side_Plank
Pushups,push,beginner,compound,body only,['chest'],"['shoulders', 'triceps']",strength,Pushups
Pushups (Close and Wide Hand Positions),push,beginner,compound,body only,['chest'],"['shoulders', 'triceps']",strength,Pushups_Close_and_Wide_Hand_Positions
Reverse Barbell Curl,pull,beginner,isolation,barbell,['biceps'],['forearms'],strength,Reverse_Barbell_Curl
Reverse Barbell Preacher Curls,pull,intermediate,isolation,e-z curl bar,['biceps'],['forearms'],strength,Reverse_Barbell_Preacher_Curls
Reverse Cable Curl,pull,beginner,isolation,cable,['biceps'],['forearms'],strength,Reverse_Cable_Curl
Reverse Crunch,pull,beginner,isolation,body only,['abdominals'],[],strength,Reverse_Crunch
Reverse Flyes,pull,beginner,isolation,dumbbell,['shoulders'],[],strength,Reverse_Flyes
Reverse Flyes With External Rotation,pull,intermediate,isolation,dumbbell,['shoulders'],[],strength,Reverse_Flyes_With_External_Rotation
Reverse Grip Bent-Over Rows,pull,intermediate,compound,barbell,['middle back'],"['biceps', 'lats', 'shoulders']",strength,Reverse_Grip_Bent-Over_Rows
Reverse Grip Triceps Pushdown,push,beginner,isolation,cable,['triceps'],[],strength,Reverse_Grip_Triceps_Pushdown
Reverse Machine Flyes,pull,beginner,isolation,machine,['shoulders'],[],strength,Reverse_Machine_Flyes
Reverse Plate Curls,pull,beginner,isolation,other,['biceps'],['forearms'],strength,Reverse_Plate_Curls
Reverse Triceps Bench Press,push,intermediate,compound,barbell,['triceps'],"['chest', 'shoulders']",strength,Reverse_Triceps_Bench_Press
Ring Dips,push,intermediate,compound,other,['triceps'],"['chest', 'shoulders']",strength,Ring_Dips
Rocking Standing Calf Raise,legs,beginner,isolation,barbell,['calves'],[],strength,Rocking_Standing_Calf_Raise
Rocky Pull-Ups/Pulldowns,pull,intermediate,compound,other,['lats'],"['biceps', 'middle back', 'shoulders']",strength,Rocky_Pull-Ups_Pulldowns
Romanian Deadlift,legs,intermediate,compound,barbell,['hamstrings'],"['calves', 'glutes', 'lower back']",strength,Romanian_Deadlift
Rope Climb,pull,intermediate,compound,other,['lats'],"['biceps', 'forearms', 'middle back', 'shoulders']",strength,Rope_Climb
Rope Crunch,pull,beginner,isolation,cable,['abdominals'],[],strength,Rope_Crunch
Rope Straight-Arm Pulldown,pull,beginner,isolation,cable,['lats'],[],strength,Rope_Straight-Arm_Pulldown
Russian Twist,pull,intermediate,compound,body only,['abdominals'],['lower back'],strength,Russian_Twist
Scapular Pull-Up,pull,beginner,isolation,body only,['traps'],"['lats', 'middle back']",strength,Scapular_Pull-Up
Seated Band Hamstring Curl,legs,beginner,isolation,other,['hamstrings'],[],strength,Seated_Band_Hamstring_Curl
Seated Barbell Military Press,push,intermediate,compound,barbell,['shoulders'],['triceps'],strength,Seated_Barbell_Military_Press
Seated Barbell Twist,pull,beginner,isolation,barbell,['abdominals'],[],strength,Seated_Barbell_Twist
Seated Bent-Over One-Arm Dumbbell Triceps Extension,push,beginner,isolation,dumbbell,['triceps'],[],strength,Seated_Bent-Over_One-Arm_Dumbbell_Triceps_Extension
Seated Bent-Over Rear Delt Raise,pull,intermediate,isolation,dumbbell,['shoulders'],[],strength,Seated_Bent-Over_Rear_Delt_Raise
Seated Bent-Over Two-Arm Dumbbell Triceps Extension,push,intermediate,isolation,dumbbell,['triceps'],[],strength,Seated_Bent-Over_Two-Arm_Dumbbell_Triceps_Extension
Seated Cable Rows,pull,beginner,compound,cable,['middle back'],"['biceps', 'lats', 'shoulders']",strength,Seated_Cable_Rows
Seated Cable Shoulder Press,push,beginner,compound,cable,['shoulders'],['triceps'],strength,Seated_Cable_Shoulder_Press
Seated Calf Raise,legs,beginner,isolation,machine,['calves'],[],strength,Seated_Calf_Raise
Seated Close-Grip Concentration Barbell Curl,pull,intermediate,isolation,barbell,['biceps'],[],strength,Seated_Close-Grip_Concentration_Barbell_Curl
Seated Dumbbell Curl,pull,beginner,isolation,dumbbell,['biceps'],[],strength,Seated_Dumbbell_Curl
Seated Dumbbell Inner Biceps Curl,pull,beginner,isolation,dumbbell,['biceps'],[],strength,Seated_Dumbbell_Inner_Biceps_Curl
Seated Dumbbell Palms-Down Wrist Curl,pull,beginner,isolation,dumbbell,['forearms'],[],strength,Seated_Dumbbell_Palms-Down_Wrist_Curl
Seated Dumbbell Palms-Up Wrist Curl,pull,beginner,isolation,dumbbell,['forearms'],[],strength,Seated_Dumbbell_Palms-Up_Wrist_Curl
Seated Dumbbell Press,push,beginner,compound,dumbbell,['shoulders'],['triceps'],strength,Seated_Dumbbell_Press
Seated Flat Bench Leg Pull-In,pull,beginner,compound,body only,['abdominals'],[],strength,Seated_Flat_Bench_Leg_Pull-In
Seated Head Harness Neck Resistance,pull,intermediate,isolation,other,['neck'],[],strength,Seated_Head_Harness_Neck_Resistance
Seated Leg Curl,legs,beginner,isolation,machine,['hamstrings'],[],strength,Seated_Leg_Curl
Seated Leg Tucks,pull,beginner,isolation,body only,['abdominals'],[],strength,Seated_Leg_Tucks
Seated One-Arm Dumbbell Palms-Down Wrist Curl,pull,intermediate,isolation,dumbbell,['forearms'],[],strength,Seated_One-Arm_Dumbbell_Palms-Down_Wrist_Curl
Seated One-Arm Dumbbell Palms-Up Wrist Curl,pull,beginner,isolation,dumbbell,['forearms'],[],strength,Seated_One-Arm_Dumbbell_Palms-Up_Wrist_Curl
Seated One-arm Cable Pulley Rows,pull,intermediate,compound,cable,['middle back'],"['biceps', 'lats', 'traps']",strength,Seated_One-arm_Cable_Pulley_Rows
Seated Palm-Up Barbell Wrist Curl,pull,beginner,isolation,barbell,['forearms'],[],strength,Seated_Palm-Up_Barbell_Wrist_Curl
Seated Palms-Down Barbell Wrist Curl,pull,beginner,isolation,barbell,['forearms'],[],strength,Seated_Palms-Down_Barbell_Wrist_Curl
Seated Side Lateral Raise,push,beginner,isolation,dumbbell,['shoulders'],[],strength,Seated_Side_Lateral_Raise
Seated Triceps Press,push,beginner,isolation,dumbbell,['triceps'],[],strength,Seated_Triceps_Press
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,pull,beginner,isolation,cable,['forearms'],[],strength,Seated_Two-Arm_Palms-Up_Low-Pulley_Wrist_Curl
See-Saw Press (Alternating Side Press),push,intermediate,compound,dumbbell,['shoulders'],"['abdominals', 'triceps']",strength,See-Saw_Press_Alternating_Side_Press
Shotgun Row,pull,beginner,compound,cable,['lats'],"['biceps', 'middle back']",strength,Shotgun_Row
